match_year,match_id,map_name,map_winner,winning_team_final_map_score,winning_team_win_rate,map_loser,losing_team_final_map_score,losing_team_win_rate
2021,37243,Blizzard World,Seoul Dynasty,3,0.75,Los Angeles Valiant,1,0.25
2021,37242,Oasis,Hangzhou Spark,2,0.6666666666666666,Guangzhou Charge,1,0.33333333333333337
2021,37242,Temple of Anubis,Hangzhou Spark,2,0.6666666666666666,Guangzhou Charge,1,0.33333333333333337
2021,37242,Blizzard World,Hangzhou Spark,3,0.6,Guangzhou Charge,2,0.4
2021,37241,Ilios,Shanghai Dragons,2,0.6666666666666666,New York Excelsior,1,0.33333333333333337
2021,37241,Temple of Anubis,Shanghai Dragons,2,0.6666666666666666,New York Excelsior,1,0.33333333333333337
2021,37241,Blizzard World,Shanghai Dragons,3,0.75,New York Excelsior,1,0.25
2021,37213,Lijiang Tower,Florida Mayhem,2,1.0,Paris Eternal,0,0.0
2021,37213,Temple of Anubis,Paris Eternal,1,1.0,Florida Mayhem,0,0.0
2021,37213,Blizzard World,Florida Mayhem,2,0.6666666666666666,Paris Eternal,1,0.33333333333333337
2021,37213,Dorado,Florida Mayhem,2,0.6666666666666666,Paris Eternal,1,0.33333333333333337
2021,37212,Lijiang Tower,Toronto Defiant,2,0.6666666666666666,London Spitfire,1,0.33333333333333337
2021,37212,Volskaya Industries,London Spitfire,3,0.6,Toronto Defiant,2,0.4
2021,37212,King's Row,Toronto Defiant,2,0.6666666666666666,London Spitfire,1,0.33333333333333337
2021,37212,Havana,Toronto Defiant,3,0.6,London Spitfire,2,0.4
2021,37211,Oasis,Atlanta Reign,2,1.0,San Francisco Shock,0,0.0
2021,37211,Volskaya Industries,San Francisco Shock,3,0.6,Atlanta Reign,2,0.4
2021,37211,King's Row,Atlanta Reign,3,0.6,San Francisco Shock,2,0.4
2021,37211,Havana,San Francisco Shock,3,1.0,Atlanta Reign,0,0.0
2021,37211,Nepal,San Francisco Shock,2,1.0,Atlanta Reign,0,0.0
2021,37382,Nepal,Shanghai Dragons,2,0.6666666666666666,Philadelphia Fusion,1,0.33333333333333337
2021,37382,Volskaya Industries,draw,2,0.5,draw,2,0.5
2021,37382,Eichenwalde,Philadelphia Fusion,2,0.6666666666666666,Shanghai Dragons,1,0.33333333333333337
2021,37382,Havana,Philadelphia Fusion,1,1.0,Shanghai Dragons,0,0.0
2021,37382,Ilios,Shanghai Dragons,2,0.6666666666666666,Philadelphia Fusion,1,0.33333333333333337
2021,37382,Watchpoint: Gibraltar,Shanghai Dragons,5,0.5555555555555556,Philadelphia Fusion,4,0.4444444444444444
2021,37381,Busan,Chengdu Hunters,2,0.6666666666666666,Seoul Dynasty,1,0.33333333333333337
2021,37381,Hanamura,Chengdu Hunters,2,0.6666666666666666,Seoul Dynasty,1,0.33333333333333337
2021,37381,Blizzard World,Seoul Dynasty,1,1.0,Chengdu Hunters,0,0.0
2021,37381,Watchpoint: Gibraltar,Chengdu Hunters,3,0.6,Seoul Dynasty,2,0.4
2021,37150,Ilios,Florida Mayhem,2,1.0,Toronto Defiant,0,0.0
2021,37150,Temple of Anubis,Florida Mayhem,2,0.6666666666666666,Toronto Defiant,1,0.33333333333333337
2021,37150,King's Row,Florida Mayhem,2,0.6666666666666666,Toronto Defiant,1,0.33333333333333337
2021,37149,Busan,Dallas Fuel,2,1.0,San Francisco Shock,0,0.0
2021,37149,Volskaya Industries,Dallas Fuel,2,0.6666666666666666,San Francisco Shock,1,0.33333333333333337
2021,37149,Eichenwalde,Dallas Fuel,3,0.75,San Francisco Shock,1,0.25
2021,37148,Oasis,Florida Mayhem,2,0.6666666666666666,Washington Justice,1,0.33333333333333337
2021,37148,Volskaya Industries,Washington Justice,2,0.6666666666666666,Florida Mayhem,1,0.33333333333333337
2021,37148,King's Row,Florida Mayhem,1,1.0,Washington Justice,0,0.0
2021,37148,Dorado,Florida Mayhem,1,1.0,Washington Justice,0,0.0
2021,37147,Busan,Dallas Fuel,2,1.0,Houston Outlaws,0,0.0
2021,37147,Volskaya Industries,Dallas Fuel,3,0.6,Houston Outlaws,2,0.4
2021,37147,Blizzard World,Dallas Fuel,4,0.5714285714285714,Houston Outlaws,3,0.4285714285714286
2021,37377,Ilios,Shanghai Dragons,2,1.0,Florida Mayhem,0,0.0
2021,37377,Hanamura,draw,1,0.5,draw,1,0.5
2021,37377,King's Row,Florida Mayhem,2,0.6666666666666666,Shanghai Dragons,1,0.33333333333333337
2021,37377,Watchpoint: Gibraltar,Shanghai Dragons,1,1.0,Florida Mayhem,0,0.0
2021,37377,Oasis,Florida Mayhem,2,1.0,Shanghai Dragons,0,0.0
2021,37377,Dorado,Shanghai Dragons,3,0.6,Florida Mayhem,2,0.4
2021,37378,Nepal,Dallas Fuel,2,0.6666666666666666,Chengdu Hunters,1,0.33333333333333337
2021,37378,Temple of Anubis,Dallas Fuel,2,0.6666666666666666,Chengdu Hunters,1,0.33333333333333337
2021,37378,Blizzard World,Chengdu Hunters,1,1.0,Dallas Fuel,0,0.0
2021,37378,Watchpoint: Gibraltar,Dallas Fuel,4,0.5714285714285714,Chengdu Hunters,3,0.4285714285714286
2021,37379,Ilios,Dallas Fuel,2,1.0,Shanghai Dragons,0,0.0
2021,37379,Temple of Anubis,draw,2,0.5,draw,2,0.5
2021,37379,Blizzard World,Shanghai Dragons,2,0.6666666666666666,Dallas Fuel,1,0.33333333333333337
2021,37379,Watchpoint: Gibraltar,Dallas Fuel,3,0.6,Shanghai Dragons,2,0.4
2021,37379,Oasis,Shanghai Dragons,2,1.0,Dallas Fuel,0,0.0
